_element_key,_element_name,_element_type,_list_child_element_keys
absorbent_replaced,absorbent_replaced,string,[]
absorbent_replacement,absorbent_replacement,string,[]
annual_cleaning,annual_cleaning,string,[]
can_drains_cleared_of_debris,can_drains_cleared_of_debris,string,[]
can_ows_be_fixed,can_ows_be_fixed,string,[]
can_pans_be_fixed,can_pans_be_fixed,string,[]
consumable_name_0,consumable_name_0,string,[]
consumable_name_1,consumable_name_1,string,[]
consumable_name_2,consumable_name_2,string,[]
consumable_quantity_0,consumable_quantity_0,string,[]
consumable_quantity_1,consumable_quantity_1,string,[]
consumable_quantity_2,consumable_quantity_2,string,[]
consumable_totalhrs_0,consumable_totalhrs_0,string,[]
consumable_totalhrs_1,consumable_totalhrs_1,string,[]
consumable_totalhrs_2,consumable_totalhrs_2,string,[]
diameter_of_outfall,diameter_of_outfall,number,[]
drains_cannot_be_cleared_description,drains_cannot_be_cleared_description,string,[]
drains_free_of_debris,drains_free_of_debris,string,[]
drip_pans_clear_of_oil,drip_pans_clear_of_oil,string,[]
drip_pans_oil_description,drip_pans_oil_description,string,[]
equipment_can_be_fixed,equipment_can_be_fixed,string,[]
equipment_cannot_be_fixed_description,equipment_cannot_be_fixed_description,string,[]
equipment_name_0,equipment_name_0,string,[]
equipment_name_1,equipment_name_1,string,[]
equipment_name_2,equipment_name_2,string,[]
equipment_need_repair,equipment_need_repair,string,[]
equipment_quantity_0,equipment_quantity_0,string,[]
equipment_quantity_1,equipment_quantity_1,string,[]
equipment_quantity_2,equipment_quantity_2,string,[]
equipment_totalhrs_0,equipment_totalhrs_0,string,[]
equipment_totalhrs_1,equipment_totalhrs_1,string,[]
equipment_totalhrs_2,equipment_totalhrs_2,string,[]
estimated_quantity,estimated_quantity,string,[]
geo_info,geo_info,geopoint,"[""geo_info_latitude"",""geo_info_longitude"",""geo_info_altitude"",""geo_info_accuracy""]"
geo_info_accuracy,accuracy,number,[]
geo_info_altitude,altitude,number,[]
geo_info_latitude,latitude,number,[]
geo_info_longitude,longitude,number,[]
inspection_id,inspection_id,string,[]
loc_aid,loc_aid,string,[]
loc_city,loc_city,string,[]
loc_client,loc_client,string,[]
loc_name,loc_name,string,[]
loc_state,loc_state,string,[]
loc_streetAddress,loc_streetAddress,string,[]
loc_zip,loc_zip,string,[]
oil_debris_removed,oil_debris_removed,string,[]
outfall_absorbent,outfall_absorbent,string,[]
outfall_condition,outfall_condition,string,[]
outfall_id,outfall_id,string,[]
outfall_manifest_bol,outfall_manifest_bol,string,[]
outfall_odor_present,outfall_odor_present,string,[]
outfall_product_present,outfall_product_present,string,[]
outfall_repair_description,outfall_repair_description,string,[]
outfall_samples_obtained_analyzed,outfall_samples_obtained_analyzed,string,[]
outfall_sheen_present,outfall_sheen_present,string,[]
outfall_sheen_present_description,outfall_sheen_present_description,string,[]
ows_absorbent,ows_absorbent,string,[]
ows_cannot_be_fixed_description,ows_cannot_be_fixed_description,string,[]
ows_discharge_type,ows_discharge_type,string,[]
ows_functions,ows_functions,string,[]
ows_id,ows_id,string,[]
ows_manifest_bol,ows_manifest_bol,string,[]
ows_needs_cleaned,ows_needs_cleaned,string,[]
ows_needs_cleaned_description,ows_needs_cleaned_description,string,[]
pans_cannot_be_fixed_description,pans_cannot_be_fixed_description,string,[]
pans_working,pans_working,string,[]
personnel_endtime_0,personnel_endtime_0,string,[]
personnel_endtime_1,personnel_endtime_1,string,[]
personnel_endtime_2,personnel_endtime_2,string,[]
personnel_name_0,personnel_name_0,string,[]
personnel_name_1,personnel_name_1,string,[]
personnel_name_2,personnel_name_2,string,[]
personnel_starttime_0,personnel_starttime_0,string,[]
personnel_starttime_1,personnel_starttime_1,string,[]
personnel_starttime_2,personnel_starttime_2,string,[]
personnel_title_0,personnel_title_0,string,[]
personnel_title_1,personnel_title_1,string,[]
personnel_title_2,personnel_title_2,string,[]
personnel_totalhrs_0,personnel_totalhrs_0,string,[]
personnel_totalhrs_1,personnel_totalhrs_1,string,[]
personnel_totalhrs_2,personnel_totalhrs_2,string,[]
ph,ph,number,[]
project_comment,project_comment,string,[]
project_correl_id,project_correl_id,string,[]
project_daily_report,project_daily_report,string,[]
project_done,project_done,string,[]
project_end_time,project_end_time,time,[]
project_manager,project_manager,string,[]
project_number,project_number,string,[]
project_start_time,project_start_time,time,[]
reading_1_oil,reading_1_oil,string,[]
reading_1_sheen,reading_1_sheen,string,[]
reading_1_thickness,reading_1_thickness,number,[]
repair_defective,repair_defective,string,[]
sample_date,sample_date,string,[]
sample_time,sample_time,time,[]
samples_obtained_analyzed,samples_obtained_analyzed,string,[]
sheen_or_product_description,sheen_or_product_description,string,[]
sheen_or_product_present,sheen_or_product_present,string,[]
temperature,temperature,number,[]
type_and_capacity,type_and_capacity,string,[]
type_of_absorbent,type_of_absorbent,string,[]
type_of_inspection,type_of_inspection,array,"[""type_of_inspection_items""]"
type_of_inspection_items,items,string,[]
vehicle_name_0,vehicle_name_0,string,[]
vehicle_name_1,vehicle_name_1,string,[]
vehicle_name_2,vehicle_name_2,string,[]
vehicle_quantity_0,vehicle_quantity_0,string,[]
vehicle_quantity_1,vehicle_quantity_1,string,[]
vehicle_quantity_2,vehicle_quantity_2,string,[]
vehicle_totalhrs_0,vehicle_totalhrs_0,string,[]
vehicle_totalhrs_1,vehicle_totalhrs_1,string,[]
vehicle_totalhrs_2,vehicle_totalhrs_2,string,[]
waste_drums_hazardous,waste_drums_hazardous,number,[]
waste_drums_non_hazardous,waste_drums_non_hazardous,number,[]
weather,weather,string,[]
